Time,Channel B
(ms),(V)

-3.28113706,4.94460900
-3.27985706,4.94460900
-3.27857706,4.94460900
-3.27729706,4.94460900
-3.27601706,4.94460900
-3.27473706,4.94460900
-3.27345706,4.94460900
-3.27217706,4.94460900
-3.27089706,4.94460900
-3.26961706,4.94460900
-3.26833706,4.94460900
-3.26705706,4.94460900
-3.26577706,4.94460900
-3.26449706,4.94460900
-3.26321706,4.94460900
-3.26193706,4.94460900
-3.26065706,4.94460900
-3.25937706,4.94460900
-3.25809706,4.94460900
-3.25681706,4.94460900
-3.25553706,4.94460900
-3.25425706,4.94460900
-3.25297706,4.94460900
-3.25169706,4.94460900
-3.25041706,4.94460900
-3.24913706,4.94460900
-3.24785706,4.94460900
-3.24657706,4.94460900
-3.24529706,5.12100600
-3.24401706,4.94460900
-3.24273706,5.12100600
-3.24145706,4.94460900
-3.24017706,4.94460900
-3.23889706,4.94460900
-3.23761706,4.94460900
-3.23633706,4.94460900
-3.23505706,4.94460900
-3.23377706,4.94460900
-3.23249706,4.94460900
-3.23121706,4.94460900
-3.22993706,4.94460900
-3.22865706,4.94460900
-3.22737706,4.94460900
-3.22609706,4.94460900
-3.22481706,4.94460900
-3.22353706,4.94460900
-3.22225706,4.94460900
-3.22097706,4.94460900
-3.21969706,4.94460900
-3.21841706,4.94460900
-3.21713706,4.94460900
-3.21585706,4.94460900
-3.21457706,4.94460900
-3.21329706,4.94460900
-3.21201706,4.94460900
-3.21073706,4.94460900
-3.20945706,4.94460900
-3.20817706,4.94460900
-3.20689706,4.94460900
-3.20561706,4.94460900
-3.20433706,4.94460900
-3.20305706,4.94460900
-3.20177706,4.94460900
-3.20049706,4.94460900
-3.19921706,4.94460900
-3.19793706,4.94460900
-3.19665706,4.94460900
-3.19537706,4.94460900
-3.19409706,4.94460900
-3.19281706,4.94460900
-3.19153706,4.94460900
-3.19025706,4.94460900
-3.18897706,4.94460900
-3.18769706,4.94460900
-3.18641706,4.94460900
-3.18513706,4.94460900
-3.18385706,4.94460900
-3.18257706,4.94460900
-3.18129706,4.94460900
-3.18001706,4.94460900
-3.17873706,5.12100600
-3.17745706,4.94460900
-3.17617706,5.12100600
-3.17489706,4.94460900
-3.17361706,4.94460900
-3.17233706,4.94460900
-3.17105706,4.94460900
-3.16977706,4.94460900
-3.16849706,4.94460900
-3.16721706,4.94460900
-3.16593706,4.94460900
-3.16465706,4.94460900
-3.16337706,4.94460900
-3.16209706,4.94460900
-3.16081706,4.94460900
-3.15953706,4.94460900
-3.15825706,4.94460900
-3.15697706,4.94460900
-3.15569706,4.94460900
-3.15441706,4.94460900
-3.15313706,4.94460900
-3.15185706,4.94460900
-3.15057706,4.94460900
-3.14929706,4.94460900
-3.14801706,4.94460900
-3.14673706,4.94460900
-3.14545706,4.94460900
-3.14417706,4.94460900
-3.14289706,4.94460900
-3.14161706,4.94460900
-3.14033706,4.94460900
-3.13905706,4.94460900
-3.13777706,4.94460900
-3.13649706,4.94460900
-3.13521706,4.94460900
-3.13393706,4.94460900
-3.13265706,4.94460900
-3.13137706,4.94460900
-3.13009706,4.94460900
-3.12881706,4.94460900
-3.12753706,4.94460900
-3.12625706,4.94460900
-3.12497706,4.94460900
-3.12369706,4.94460900
-3.12241706,4.94460900
-3.12113706,4.94460900
-3.11985706,4.94460900
-3.11857706,4.94460900
-3.11729706,4.94460900
-3.11601706,4.94460900
-3.11473706,4.94460900
-3.11345706,5.12100600
-3.11217706,5.12100600
-3.11089706,4.94460900
-3.10961706,5.12100600
-3.10833706,4.94460900
-3.10705706,4.94460900
-3.10577706,4.94460900
-3.10449706,4.94460900
-3.10321706,4.94460900
-3.10193706,4.94460900
-3.10065706,4.94460900
-3.09937706,4.94460900
-3.09809706,4.94460900
-3.09681706,4.94460900
-3.09553706,4.94460900
-3.09425706,4.94460900
-3.09297706,4.94460900
-3.09169706,4.94460900
-3.09041706,4.94460900
-3.08913706,4.94460900
-3.08785706,4.94460900
-3.08657706,4.94460900
-3.08529706,4.94460900
-3.08401706,4.94460900
-3.08273706,4.94460900
-3.08145706,4.94460900
-3.08017706,4.94460900
-3.07889706,4.94460900
-3.07761706,4.94460900
-3.07633706,4.94460900
-3.07505706,4.94460900
-3.07377706,4.94460900
-3.07249706,4.94460900
-3.07121706,4.94460900
-3.06993706,4.94460900
-3.06865706,4.94460900
-3.06737706,4.94460900
-3.06609706,4.94460900
-3.06481706,4.94460900
-3.06353706,4.94460900
-3.06225706,4.94460900
-3.06097706,4.94460900
-3.05969706,4.94460900
-3.05841706,4.94460900
-3.05713706,4.94460900
-3.05585706,4.94460900
-3.05457706,4.94460900
-3.05329706,4.94460900
-3.05201706,4.94460900
-3.05073706,4.94460900
-3.04945706,4.94460900
-3.04817706,5.12100600
-3.04689706,5.12100600
-3.04561706,5.12100600
-3.04433706,4.94460900
-3.04305706,4.94460900
-3.04177706,4.94460900
-3.04049706,4.94460900
-3.03921706,4.94460900
-3.03793706,4.94460900
-3.03665706,4.94460900
-3.03537706,4.94460900
-3.03409706,4.94460900
-3.03281706,4.94460900
-3.03153706,4.94460900
-3.03025706,4.94460900
-3.02897706,4.94460900
-3.02769706,4.94460900
-3.02641706,4.94460900
-3.02513706,4.94460900
-3.02385706,4.94460900
-3.02257706,4.94460900
-3.02129706,4.94460900
-3.02001706,4.94460900
-3.01873706,4.94460900
-3.01745706,4.94460900
-3.01617706,4.94460900
-3.01489706,4.94460900
-3.01361706,4.94460900
-3.01233706,4.94460900
-3.01105706,4.94460900
-3.00977706,4.94460900
-3.00849706,4.94460900
-3.00721706,4.94460900
-3.00593706,4.94460900
-3.00465706,4.94460900
-3.00337706,4.94460900
-3.00209706,4.94460900
-3.00081706,4.94460900
-2.99953706,4.94460900
-2.99825706,4.94460900
-2.99697706,4.94460900
-2.99569706,4.94460900
-2.99441706,4.94460900
-2.99313706,4.94460900
-2.99185706,4.94460900
-2.99057706,4.94460900
-2.98929706,4.94460900
-2.98801706,4.94460900
-2.98673706,4.94460900
-2.98545706,4.94460900
-2.98417706,4.94460900
-2.98289706,5.12100600
-2.98161706,4.94460900
-2.98033706,4.94460900
-2.97905706,4.94460900
-2.97777706,4.94460900
-2.97649706,4.94460900
-2.97521706,4.94460900
-2.97393706,4.94460900
-2.97265706,4.94460900
-2.97137706,4.94460900
-2.97009706,4.94460900
-2.96881706,4.94460900
-2.96753706,4.94460900
